W = 0.008,W = -0.008,W = -0.0002,W = 0.0002,W = 0.0
0.616829,0.617573,0.615575,0.615557,0.615565
0.614993,0.61558,0.613675,0.61366,0.613666
0.613168,0.6136,0.611785,0.611774,0.611779
0.611351,0.611632,0.609906,0.6099,0.609902
0.609545,0.609677,0.608038,0.608035,0.608036
0.607748,0.607734,0.606182,0.606182,0.606181
0.60596,0.605804,0.604335,0.60434,0.604336
0.604182,0.603886,0.6025,0.602507,0.602503
0.602413,0.60198,0.600675,0.600686,0.600679
0.600654,0.600086,0.59886,0.598875,0.598866
0.598903,0.598204,0.597056,0.597074,0.597064
0.597161,0.596334,0.595262,0.595283,0.595271
0.595429,0.594475,0.593478,0.593502,0.593489
0.593705,0.592628,0.591704,0.591731,0.591717
0.59199,0.590792,0.58994,0.58997,0.589954
0.590284,0.588967,0.588186,0.588219,0.588202
0.588586,0.587154,0.586442,0.586478,0.586459
0.586898,0.585351,0.584708,0.584746,0.584726
0.585217,0.58356,0.582983,0.583024,0.583003
0.583546,0.581779,0.581267,0.581312,0.581289
0.581882,0.580009,0.579561,0.579609,0.579584
0.580227,0.57825,0.577865,0.577915,0.577889
0.578581,0.576501,0.576178,0.57623,0.576203
0.576942,0.574763,0.5745,0.574555,0.574526
0.575312,0.573034,0.572831,0.572888,0.572859
0.57369,0.571317,0.571171,0.571231,0.5712
0.572076,0.569609,0.56952,0.569582,0.56955
0.57047,0.567911,0.567878,0.567942,0.56791
0.568872,0.566223,0.566245,0.566312,0.566278
0.567282,0.564545,0.564621,0.564689,0.564654
0.5657,0.562877,0.563005,0.563076,0.56304
0.564125,0.561218,0.561398,0.561471,0.561433
0.562558,0.559569,0.559799,0.559874,0.559836
0.560999,0.557929,0.558209,0.558286,0.558247
0.559447,0.556299,0.556627,0.556706,0.556666
0.557903,0.554678,0.555054,0.555135,0.555093
0.556367,0.553066,0.553488,0.553571,0.553529
0.554838,0.551463,0.551931,0.552016,0.551973
0.553316,0.549869,0.550382,0.550469,0.550425
0.551802,0.548284,0.548841,0.54893,0.548885
0.550294,0.546708,0.547308,0.547398,0.547353
0.548794,0.545141,0.545783,0.545875,0.545828
0.547302,0.543583,0.544266,0.544359,0.544312
0.545816,0.542033,0.542757,0.542851,0.542803
0.544337,0.540491,0.541255,0.541351,0.541302
0.542866,0.538959,0.539761,0.539859,0.539809
0.541401,0.537434,0.538274,0.538374,0.538323
0.539944,0.535918,0.536795,0.536896,0.536845
0.538493,0.53441,0.535324,0.535426,0.535374
0.537049,0.53291,0.53386,0.533963,0.533911
0.535612,0.531419,0.532403,0.532508,0.532455
0.534181,0.529935,0.530954,0.53106,0.531006
0.532758,0.528459,0.529511,0.529619,0.529565
0.53134,0.526991,0.528076,0.528185,0.52813
0.52993,0.525531,0.526648,0.526759,0.526703
0.528526,0.524079,0.525228,0.525339,0.525283
0.527128,0.522634,0.523814,0.523926,0.523869
0.525737,0.521197,0.522407,0.522521,0.522463
0.524353,0.519768,0.521007,0.521122,0.521064
0.522974,0.518346,0.519614,0.51973,0.519671
0.521602,0.516931,0.518227,0.518344,0.518285
0.520237,0.515524,0.516848,0.516966,0.516906
0.518877,0.514124,0.515475,0.515594,0.515534
0.517524,0.512732,0.514109,0.514229,0.514168
0.516177,0.511346,0.512749,0.51287,0.512809
0.514836,0.509968,0.511396,0.511518,0.511456
0.513501,0.508596,0.510049,0.510172,0.51011
0.512173,0.507232,0.508709,0.508833,0.50877
0.51085,0.505874,0.507375,0.5075,0.507437
0.509533,0.504524,0.506048,0.506173,0.50611
0.508222,0.50318,0.504727,0.504853,0.504789
0.506917,0.501843,0.503412,0.503539,0.503475
0.505617,0.500513,0.502103,0.502231,0.502167
0.504324,0.499189,0.500801,0.500929,0.500864
0.503036,0.497872,0.499504,0.499634,0.499568
0.501754,0.496561,0.498214,0.498344,0.498279
0.500478,0.495257,0.49693,0.49706,0.496995
0.499207,0.49396,0.495651,0.495783,0.495717
0.497942,0.492669,0.494379,0.494511,0.494445
0.496683,0.491384,0.493113,0.493245,0.493178
0.495429,0.490105,0.491852,0.491985,0.491918
0.49418,0.488833,0.490597,0.490731,0.490664
0.492937,0.487567,0.489348,0.489483,0.489415
0.4917,0.486307,0.488105,0.48824,0.488172
0.490468,0.485053,0.486867,0.487003,0.486935
0.489241,0.483805,0.485635,0.485771,0.485703
0.48802,0.482563,0.484409,0.484546,0.484477
0.486804,0.481327,0.483188,0.483325,0.483256
0.485593,0.480097,0.481973,0.48211,0.482041
0.484387,0.478873,0.480763,0.480901,0.480832
0.483187,0.477654,0.479559,0.479697,0.479628
0.481991,0.476442,0.47836,0.478499,0.478429
0.480801,0.475235,0.477166,0.477306,0.477236
0.479616,0.474033,0.475978,0.476118,0.476048
0.478436,0.472838,0.474795,0.474936,0.474865
0.477261,0.471648,0.473618,0.473758,0.473688
0.476091,0.470463,0.472445,0.472586,0.472515
0.474926,0.469284,0.471278,0.471419,0.471348
0.473766,0.468111,0.470116,0.470258,0.470187
0.472611,0.466943,0.468959,0.469101,0.46903
0.471461,0.46578,0.467807,0.46795,0.467878
0.470315,0.464623,0.466661,0.466803,0.466732
0.469175,0.463471,0.465519,0.465662,0.46559
0.468039,0.462324,0.464382,0.464525,0.464453
0.466908,0.461182,0.46325,0.463394,0.463322
0.465782,0.460046,0.462124,0.462267,0.462195
0.46466,0.458915,0.461002,0.461145,0.461073
0.463543,0.457789,0.459884,0.460028,0.459956
0.462431,0.456668,0.458772,0.458916,0.458844
0.461323,0.455552,0.457665,0.457809,0.457736
0.46022,0.454441,0.456562,0.456707,0.456634
0.459122,0.453335,0.455464,0.455609,0.455536
0.458028,0.452234,0.454371,0.454516,0.454443
0.456938,0.451138,0.453282,0.453427,0.453354
0.455853,0.450046,0.452198,0.452343,0.45227
0.454773,0.44896,0.451118,0.451264,0.451191
0.453697,0.447878,0.450044,0.450189,0.450116
0.452625,0.446801,0.448973,0.449119,0.449046
0.451558,0.445729,0.447907,0.448053,0.44798
0.450495,0.444662,0.446846,0.446992,0.446919
0.449436,0.443599,0.445789,0.445935,0.445862
0.448382,0.442541,0.444737,0.444883,0.44481
0.447332,0.441487,0.443689,0.443835,0.443762
0.446286,0.440438,0.442645,0.442792,0.442718
0.445245,0.439394,0.441606,0.441752,0.441679
0.444207,0.438354,0.440571,0.440717,0.440644
0.443174,0.437318,0.43954,0.439687,0.439613
0.442145,0.436287,0.438514,0.43866,0.438587
0.44112,0.43526,0.437492,0.437638,0.437565
0.440099,0.434238,0.436474,0.43662,0.436547
0.439082,0.43322,0.43546,0.435607,0.435533
0.43807,0.432206,0.43445,0.434597,0.434523
0.437061,0.431197,0.433445,0.433592,0.433518
0.436056,0.430192,0.432443,0.43259,0.432516
0.435056,0.429191,0.431446,0.431593,0.431519
0.434059,0.428195,0.430453,0.4306,0.430526
0.433066,0.427202,0.429464,0.42961,0.429537
0.432078,0.426214,0.428478,0.428625,0.428551
0.431093,0.42523,0.427497,0.427644,0.42757
0.430112,0.42425,0.42652,0.426667,0.426593
0.429134,0.423274,0.425547,0.425693,0.42562
0.428161,0.422302,0.424577,0.424724,0.42465
0.427191,0.421334,0.423612,0.423758,0.423685
0.426225,0.42037,0.42265,0.422796,0.422723
0.425263,0.41941,0.421692,0.421839,0.421765
0.424305,0.418454,0.420738,0.420884,0.420811
0.423351,0.417502,0.419788,0.419934,0.419861
0.4224,0.416553,0.418841,0.418988,0.418914
0.421453,0.415609,0.417899,0.418045,0.417971
0.420509,0.414669,0.41696,0.417106,0.417032
0.419569,0.413732,0.416024,0.41617,0.416097
0.418633,0.412799,0.415093,0.415239,0.415165
0.4177,0.41187,0.414165,0.414311,0.414237
0.416771,0.410944,0.41324,0.413386,0.413313
0.415846,0.410023,0.41232,0.412465,0.412392
0.414924,0.409105,0.411403,0.411548,0.411475
0.414005,0.40819,0.410489,0.410635,0.410562
0.41309,0.40728,0.409579,0.409725,0.409651
0.412179,0.406373,0.408673,0.408818,0.408745
0.411271,0.405469,0.40777,0.407915,0.407842
0.410366,0.404569,0.40687,0.407015,0.406942
0.409465,0.403673,0.405974,0.406119,0.406046
0.408567,0.40278,0.405082,0.405227,0.405154
0.407673,0.401891,0.404193,0.404337,0.404265
0.406782,0.401005,0.403307,0.403452,0.403379
0.405894,0.400123,0.402425,0.402569,0.402497
0.40501,0.399244,0.401546,0.40169,0.401618
0.404129,0.398369,0.40067,0.400814,0.400742
0.403251,0.397497,0.399798,0.399942,0.39987
0.402377,0.396628,0.398929,0.399073,0.399001
0.401505,0.395763,0.398063,0.398207,0.398135
0.400637,0.394901,0.397201,0.397345,0.397273
0.399773,0.394043,0.396342,0.396485,0.396413
0.398911,0.393188,0.395486,0.395629,0.395557
0.398053,0.392336,0.394634,0.394777,0.394705
0.397198,0.391487,0.393784,0.393927,0.393855
0.396346,0.390642,0.392938,0.393081,0.393009
0.395497,0.389799,0.392095,0.392237,0.392166
0.394651,0.38896,0.391255,0.391397,0.391326
0.393809,0.388125,0.390418,0.39056,0.390489
0.392969,0.387292,0.389584,0.389727,0.389655
0.392133,0.386463,0.388754,0.388896,0.388825
0.391299,0.385636,0.387926,0.388068,0.387997
0.390469,0.384813,0.387102,0.387243,0.387172
0.389642,0.383993,0.386281,0.386422,0.386351
0.388817,0.383176,0.385462,0.385603,0.385533
0.387996,0.382362,0.384647,0.384788,0.384717
0.387178,0.381551,0.383835,0.383975,0.383905
0.386362,0.380743,0.383025,0.383166,0.383095
0.38555,0.379939,0.382219,0.382359,0.382289
0.384741,0.379137,0.381415,0.381556,0.381485
0.383934,0.378338,0.380615,0.380755,0.380685
0.38313,0.377542,0.379817,0.379957,0.379887
0.38233,0.376749,0.379022,0.379162,0.379092
0.381532,0.375959,0.378231,0.37837,0.3783
0.380737,0.375172,0.377442,0.377581,0.377511
0.379944,0.374388,0.376656,0.376795,0.376725
0.379155,0.373606,0.375872,0.376011,0.375941
0.378368,0.372828,0.375092,0.375231,0.375161
0.377585,0.372052,0.374314,0.374453,0.374383
0.376804,0.371279,0.373539,0.373678,0.373608
0.376026,0.370509,0.372767,0.372905,0.372836
0.37525,0.369742,0.371998,0.372136,0.372067
0.374477,0.368978,0.371232,0.371369,0.3713
0.373707,0.368216,0.370468,0.370605,0.370536
0.37294,0.367457,0.369707,0.369844,0.369775
0.372176,0.366701,0.368948,0.369085,0.369016
0.371414,0.365948,0.368193,0.368329,0.368261
0.370654,0.365197,0.36744,0.367576,0.367508
0.369898,0.364449,0.366689,0.366825,0.366757
0.369144,0.363704,0.365941,0.366078,0.366009
0.368393,0.362961,0.365196,0.365332,0.365264
0.367644,0.362221,0.364454,0.36459,0.364521
0.366898,0.361484,0.363714,0.36385,0.363782
0.366155,0.360749,0.362977,0.363112,0.363044
0.365414,0.360017,0.362242,0.362377,0.362309
0.364675,0.359287,0.36151,0.361645,0.361577
0.36394,0.35856,0.36078,0.360915,0.360848
0.363206,0.357836,0.360053,0.360188,0.36012
0.362476,0.357114,0.359329,0.359463,0.359396
0.361748,0.356394,0.358607,0.358741,0.358674
0.361022,0.355677,0.357888,0.358021,0.357954
0.360299,0.354963,0.357171,0.357304,0.357237
0.359578,0.354251,0.356456,0.356589,0.356522
0.35886,0.353542,0.355744,0.355877,0.35581
0.358144,0.352835,0.355034,0.355167,0.355101
0.357431,0.352131,0.354327,0.35446,0.354393
0.35672,0.351429,0.353623,0.353755,0.353688
0.356011,0.350729,0.35292,0.353052,0.352986
0.355305,0.350032,0.35222,0.352352,0.352286
0.354602,0.349337,0.351523,0.351654,0.351588
0.3539,0.348645,0.350828,0.350959,0.350893
0.353201,0.347955,0.350135,0.350266,0.3502
0.352505,0.347268,0.349444,0.349575,0.34951
0.351811,0.346582,0.348756,0.348887,0.348822
0.351119,0.3459,0.348071,0.348201,0.348136
0.350429,0.345219,0.347387,0.347518,0.347452
0.349742,0.344541,0.346706,0.346836,0.346771
0.349057,0.343865,0.346027,0.346157,0.346092
0.348374,0.343191,0.345351,0.34548,0.345415
0.347694,0.34252,0.344676,0.344806,0.344741
0.347016,0.341851,0.344004,0.344134,0.344069
0.34634,0.341184,0.343335,0.343464,0.343399
0.345666,0.34052,0.342667,0.342796,0.342731
0.344995,0.339857,0.342002,0.34213,0.342066
0.344326,0.339197,0.341339,0.341467,0.341403
0.343659,0.338539,0.340678,0.340806,0.340742
0.342994,0.337884,0.340019,0.340147,0.340083
0.342332,0.33723,0.339363,0.33949,0.339426
0.341671,0.336579,0.338708,0.338836,0.338772
0.341013,0.33593,0.338056,0.338183,0.33812
0.340357,0.335283,0.337406,0.337533,0.337469
0.339703,0.334638,0.336758,0.336885,0.336821
0.339052,0.333995,0.336113,0.336239,0.336176
0.338402,0.333355,0.335469,0.335595,0.335532
0.337755,0.332716,0.334827,0.334954,0.33489
0.337109,0.33208,0.334188,0.334314,0.334251
0.336466,0.331446,0.333551,0.333676,0.333613
0.335825,0.330814,0.332916,0.333041,0.332978
0.335186,0.330184,0.332282,0.332408,0.332345
0.334549,0.329556,0.331651,0.331776,0.331714
0.333914,0.32893,0.331022,0.331147,0.331084
0.333281,0.328306,0.330395,0.33052,0.330457
0.332651,0.327684,0.32977,0.329895,0.329832
0.332022,0.327064,0.329147,0.329271,0.329209
0.331395,0.326446,0.328526,0.32865,0.328588
0.33077,0.325831,0.327907,0.328031,0.327969
0.330148,0.325217,0.327291,0.327414,0.327352
0.329527,0.324605,0.326676,0.326799,0.326737
0.328908,0.323995,0.326063,0.326186,0.326124
0.328291,0.323387,0.325452,0.325574,0.325513
0.327677,0.322781,0.324843,0.324965,0.324904
0.327064,0.322178,0.324235,0.324358,0.324296
0.326453,0.321575,0.32363,0.323752,0.323691
0.325844,0.320975,0.323027,0.323149,0.323088
0.325237,0.320377,0.322426,0.322547,0.322486
0.324632,0.319781,0.321826,0.321948,0.321887
0.324029,0.319187,0.321229,0.32135,0.321289
0.323427,0.318594,0.320633,0.320754,0.320693
0.322828,0.318004,0.320039,0.32016,0.3201
0.322231,0.317415,0.319448,0.319568,0.319508
0.321635,0.316828,0.318858,0.318978,0.318918
0.321041,0.316243,0.318269,0.31839,0.318329
0.320449,0.31566,0.317683,0.317803,0.317743
0.319859,0.315079,0.317099,0.317218,0.317158
0.319271,0.314499,0.316516,0.316636,0.316576
0.318685,0.313921,0.315935,0.316055,0.315995
0.318101,0.313346,0.315356,0.315475,0.315416
0.317518,0.312772,0.314779,0.314898,0.314838
0.316937,0.312199,0.314204,0.314322,0.314263
0.316358,0.311629,0.31363,0.313749,0.313689
0.315781,0.31106,0.313058,0.313177,0.313117
0.315205,0.310493,0.312488,0.312606,0.312547
0.314632,0.309928,0.31192,0.312038,0.311979
0.31406,0.309365,0.311354,0.311471,0.311412
0.31349,0.308803,0.310789,0.310906,0.310847
0.312921,0.308244,0.310226,0.310343,0.310284
0.312355,0.307685,0.309665,0.309782,0.309723
0.31179,0.307129,0.309105,0.309222,0.309163
0.311227,0.306574,0.308547,0.308664,0.308605
0.310665,0.306021,0.307991,0.308107,0.308049
0.310105,0.30547,0.307437,0.307553,0.307495
0.309548,0.30492,0.306884,0.307,0.306942
0.308991,0.304372,0.306333,0.306449,0.306391
0.308437,0.303826,0.305784,0.305899,0.305841
0.307884,0.303282,0.305236,0.305351,0.305294
0.307333,0.302739,0.30469,0.304805,0.304747
0.306783,0.302198,0.304146,0.304261,0.304203
0.306235,0.301658,0.303603,0.303718,0.30366
0.305689,0.30112,0.303062,0.303176,0.303119
0.305144,0.300584,0.302523,0.302637,0.30258
0.304601,0.300049,0.301985,0.302099,0.302042
0.30406,0.299516,0.301449,0.301562,0.301505
0.30352,0.298984,0.300914,0.301028,0.300971
0.302982,0.298454,0.300381,0.300495,0.300438
0.302446,0.297926,0.29985,0.299963,0.299906
0.301911,0.2974,0.29932,0.299433,0.299376
